nome,preco,imagem,status,categoria_principal,subcategoria,special,Codigo
Funko Pop! WWE The Fiend Bray Wyatt 77 Exclusivo,"R$ 439,90",https://cdn.awsli.com.br/800x800/84/84034/produto/238352536/funko-pop--wwe-the-fiend-bray-wyatt-77-exclusivo-c-1--800-ylljh1im3n.jpg,disponivel,Esporte,WWE,Exclusivo,AB4823P40
Funko Pop! Television Star Trek Klingon 84,"R$ 474,90",https://cdn.awsli.com.br/800x800/84/84034/produto/109265786/funko-pop--television-star-trek-klingon-84-a-800-heh1sx19th.jpg,disponivel,Filmes e Séries,Star Trek,,AB5059A99
Funko Pop! Television As Tartarugas Ninjas Leonardo With Surfboard 1020,"R$ 884,90",https://cdn.awsli.com.br/800x800/84/84034/produto/381696967/leonardo-2-hq9m2ffiti.png,disponivel,Filmes e Séries,As Tartarugas Ninjas,,AB5068O77
Funko Pop! Filme Star Trek Beyond Chevok 351,"R$ 334,90",https://cdn.awsli.com.br/800x800/84/84034/produto/230633412/chevok-351-cc800-tmr1hmk83f.jpg,disponivel,Filmes e Séries,Star Trek,,AB5152Q74
Funko Pop! WWE Rikishi 150 Exclusivo,"R$ 149,90",https://cdn.awsli.com.br/800x800/84/84034/produto/249650129/image-800bncdf-6weqmix7ri.jpg,disponivel,Esporte,WWE,Exclusivo,AB5200C49
Funko Pop! Television Game Of Thrones Davos Seaworth 62,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/185559960/funko-pop-television-game-of-thrones-davos-seaworth-62-bg-ibshp5lz4k.png,disponivel,Filmes e Séries,Game of Thrones,,AB5501X51
Funko Pop! Retro Toys Trouble Game Trouble Board 98,"R$ 148,90",https://cdn.awsli.com.br/800x800/84/84034/produto/120563506/funko-pop--retro-toys-trouble-game-trouble-board-98-c-800-pe3mqo3l5h.jpg,disponivel,Filmes e Séries,Retro Toys,,AB5923D18
Funko Pop! Marvel Homem Formiga / Ant Man 87,"R$ 474,90",https://cdn.awsli.com.br/800x800/84/84034/produto/235865045/funko-pop--ant-man-87-c-800-5bxghsar8p.jpg,disponivel,Heróis/Vilões,Homem Formiga,,AB5942D92
Funko Pop! Television Billions Taylor 773,"R$ 264,90",https://cdn.awsli.com.br/800x800/84/84034/produto/144161405/funko-pop--telev-hlbsckojnj.jpg,disponivel,Filmes e Séries,Billions,,AB6162H93
Funko Pop! Filme Harry Potter Gina Ginny Weasley 58,"R$ 334,90",https://cdn.awsli.com.br/800x800/84/84034/produto/60089548/funko-pop--filme-harry-potter-gina-ginny-weasley-58-as-1--800-q3rm45q7xe.jpg,disponivel,Filmes e Séries,Harry Potter,,AB6410H12
Funko Pop! Games Fortnite Leviathan 514 Exclusivo,"R$ 229,90",https://cdn.awsli.com.br/800x800/84/84034/produto/216719565/leviathan-combo-800-qguyhiiml9.jpg,disponivel,Games,Fortnite,Exclusivo,AB6937W89
Funko Pop! Dc Comics Arlequina / Harley Quinn 299 Exclusivo,"R$ 469,90",https://cdn.awsli.com.br/800x800/84/84034/produto/211974295/funko-pop--heroes-dc-harley-quinn-299-exclusivo-cc-800-n3atovn1nh.jpg,disponivel,Heróis/Vilões,Harley Quinn,Exclusivo,AB6961H35
Funko Pop! Filme Harry Potter Severus Snape 05,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/113984513/funko-pop--filme-harry-potter-severus-snape-05-a-800-evf9gnisz0.jpg,disponivel,Filmes e Séries,Harry Potter,,AB7276G80
Funko Pop! Television The Walking Dead The Governor 66,"R$ 544,90",https://cdn.awsli.com.br/800x800/84/84034/produto/143209208/funko-pop--television-the-walking-dead-the-governor-66-a-800-rvftweqpcl.jpg,disponivel,Filmes e Séries,The Walking Dead,,AB7286G10
Funko Pop! Animation Avatar Azula 1079 Exclusivo,"R$ 159,90",https://cdn.awsli.com.br/800x800/84/84034/produto/155192752/funko-pop--animation-avatar-azula-1079-exclusivo-cc-800-fp94g44f46.jpg,disponivel,Animes,Avatar The Last Airbender,Exclusivo,AB7472R60
Funko Pop! Television Star Wars Captain Rex 274 Exclusivo,"R$ 2.399,90",https://cdn.awsli.com.br/800x800/84/84034/produto/218706567/captain-rex-caixa-1--800-mj5r47j3ep.jpg,disponivel,Filmes e Séries,Star Wars,Exclusivo,AB7929X22
Funko Pop! Animation Demon Slayer Aoi Kanzaki 1535 Exclusivo Chase,"R$ 579,90",https://cdn.awsli.com.br/800x800/84/84034/produto/255000581/aki-c-890as-33dp0vi9ah.jpg,disponivel,Animes,Demon Slayer,Exclusivo | Chase,AB8678L11
Funko Pop! WWE Naomi 75 Exclusivo Glow Chase,"R$ 499,90",https://cdn.awsli.com.br/800x800/84/84034/produto/195816590/20210225131505-naomi_chase_funko_pop-3308fdc403.jpg,disponivel,Esporte,WWE,Exclusivo | Glow Chase,AB9689F99
Funko Pop! Disney Frozen Coronation Elsa 118,"R$ 334,90",https://cdn.awsli.com.br/800x800/84/84034/produto/183563938/elsa-funko-6-cs3p6wh2xp.png,disponivel,Disney,Frozen,,AB9873F80
Funko Pop! Nooks Television Star Wars Yoda In His Hut,"R$ 334,90",https://cdn.awsli.com.br/800x800/84/84034/produto/392967120/nooks-yoda-in-his-hut-xx-x7oyovae3z.png,disponivel,Filmes e Séries,Star Wars,,AC1103F22
Funko Pop! Marvel Captain America Stan Lee 283 Exclusivo,"R$ 469,90",https://cdn.awsli.com.br/800x800/84/84034/produto/216094795/st-combo-800-tk3nc9pdh2.jpg,disponivel,Heróis/Vilões,Stan Lee,Exclusivo,AC1255Q20
